name,ring,quadrant,isNew,description
1,Core,Tools,FALSE,"git, source code management"
2,Core,Tools,FALSE,
3,Core,Tools,FALSE,
4,Core,Tools,FALSE,"Knowledge on technical debt﻿ and complexity﻿, common programming rules (bugs, vulnerabilities, code smells), good coding design, quality metrics﻿ to aid in decision on Rules and Analysis of results"
5,Adopted?,Tools,FALSE,
6,Adopted?,Tools,FALSE,
7,Adopted?,Tools,FALSE,
8,Adopted?,Tools,FALSE,
9,Adopted?,Tools,FALSE,
10,Adopted?,Tools,FALSE,
11,Adopted?,Tools,FALSE,
12,Adopted?,Tools,FALSE,
13,Core,Tools,FALSE,BDD
14,Core,Tools,FALSE,.Net
15,Core,Tools,FALSE,.Net
16,Core,Tools,FALSE,Java
17,Core,Tools,FALSE,Java
18,Core,Tools,FALSE,JS
19,Core,Tools,FALSE,JS
20,Core,Tools,FALSE,JS
21,Core,Tools,FALSE,JS
22,Adopted?,Tools,FALSE,
23,Core,Tools,FALSE,"Java, REST"
24,Adopted?,Tools,FALSE,
25,Core,Tools,FALSE,Java
26,Adopted?,Tools,FALSE,JS
27,Adopted?,Tools,FALSE,JS
28,Adopted?,Tools,FALSE,JS
29,Adopted?,Tools,FALSE,
30,Core,Tools,FALSE,JS
31,Adopted?,Tools,FALSE,
32,Core,Tools,FALSE,JS
33,Adopted?,Tools,FALSE,
34,Adopted?,Tools,FALSE,
35,Adopted?,Tools,FALSE,
36,Adopted?,Tools,FALSE,
37,Adopted?,Tools,FALSE,
38,Core,Tools,FALSE,JS
39,Core,Tools,FALSE,JS
40,Adopted?,Tools,FALSE,
41,Core,Tools,FALSE,JS/Angular
42,Core,Tools,FALSE,Android (mobile web) - Java
43,Core,Tools,FALSE,
44,Adopt,Tools,FALSE,
45,Explore,Tools,FALSE,
46,Explore,Tools,FALSE,
47,Explore,Tools,FALSE,
48,Explore,Tools,FALSE,
49,Explore,Tools,FALSE,
50,Explore,Tools,FALSE,
51,Adopted?,Tools,FALSE,
52,Adopt,Tools,FALSE,
53,Adopt,Tools,FALSE,
54,Explore,Tools,FALSE,
55,Adopt,Tools,FALSE,
56,Core,Tools,FALSE,
57,Adopt,Tools,FALSE,
58,Core,Tools,FALSE,
59,Adopt,Tools,FALSE,
60,Explore,Tools,FALSE,
61,Explore,Tools,FALSE,
62,Explore,Tools,FALSE,
63,Core,Languages & Frameworks,FALSE,github and integrations with other tools
64,Core,Languages & Frameworks,FALSE,Cucumber
65,Core,Techniques,FALSE,Looper
66,Core,Languages & Frameworks,FALSE,"Junit
Concord"
67,Core,Languages & Frameworks,FALSE,"Jasmine, etc. (most Web test tools)"
68,Core,Tools,FALSE,
69,Core,Techniques,FALSE,
70,Core,Languages & Frameworks,FALSE,"REST API for JIRA Xray
REST Assured,"
71,Core,Tools,FALSE,
72,Core,Techniques,FALSE,
73,Core,Techniques,FALSE,
74,Core,Languages & Frameworks,FALSE,Puppeteer...
75,Core,Languages & Frameworks,FALSE,SinonJS…
76,Core,Languages & Frameworks,FALSE,Concord
77,Core,Techniques,FALSE,
78,Core,Techniques,FALSE,
79,Core,Techniques,FALSE,
80,Core,Techniques,FALSE,
81,Core,Techniques,FALSE,
82,Core,Languages & Frameworks,FALSE,
83,Core,Languages & Frameworks,FALSE,
84,Core,General,FALSE,
85,Core,General,FALSE,
86,Core,General,FALSE,
87,Core,General,FALSE,
88,Core,General,FALSE,
89,Core,General,FALSE,
90,Core,General,FALSE,
91,Core,General,FALSE,
92,Core,General,FALSE,
93,Core,General,FALSE,
